Model,Accuracy,Precision,Recall,F1
SVM,0.5167755991285403,0.4896531338105893,0.5167755991285403,0.4976907545127221
Naive Bayes,0.4664488017429194,0.49074482550760723,0.4664488017429194,0.37808620751334243
Transformer,0.5636165577342048,0.5515697689297212,0.5636165577342048,0.5458921209678232
