Model,Accuracy,Precision,Recall,F1
SVM,0.82868,0.8373983739837398,0.81576,0.8264375734489605
Naive Bayes,0.82088,0.8552701505757307,0.77248,0.8117696511139134
Transformer,0.83396,0.8917878930079775,0.76016,0.8207298639602678
