Model,Accuracy,Precision,Recall,F1
SVM,0.7607879924953096,0.7747035573122529,0.7354596622889306,0.7545717035611165
Naive Bayes,0.7804878048780488,0.793713163064833,0.7579737335834896,0.7754318618042226
Transformer,0.7551594746716698,0.8523316062176166,0.6172607879924953,0.7159956474428727
